,loss_best,accuracy_best,data.nb_data,data.key,data.seed,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
6736,0.2385278195142746,0.038909912109375,8192,qa,9,12,2,2,10908
6737,0.14147445559501648,0.040252685546875,8192,qa,9,16,2,2,16592
6738,0.1311577558517456,0.041595458984375,8192,qa,9,20,2,2,23300
6739,0.12968893349170685,0.042755126953125,8192,qa,9,24,2,2,31032
6740,0.12886647880077362,0.045654296875,8192,qa,9,28,2,2,39788
6741,0.13027814030647278,0.045928955078125,8192,qa,9,32,2,2,49568
6742,0.11991102248430252,0.067718505859375,8192,qa,9,36,2,2,60372
6743,0.1097256988286972,0.100860595703125,8192,qa,9,40,2,2,72200
6744,0.09939812868833542,0.091583251953125,8192,qa,9,44,2,2,85052
6745,0.09690430760383606,0.124053955078125,8192,qa,9,48,2,2,98928
6746,0.07236859947443008,0.291107177734375,8192,qa,9,52,2,2,113828
6747,0.05623359978199005,0.35601806640625,8192,qa,9,56,2,2,129752
6748,0.04363693296909332,0.558074951171875,8192,qa,9,60,2,2,146700
6749,0.030490996316075325,0.600067138671875,8192,qa,9,64,2,2,164672
6750,0.016422927379608154,0.824981689453125,8192,qa,9,68,2,2,183668
6751,0.0061683692038059235,0.96697998046875,8192,qa,9,72,2,2,203688
6752,0.00599147891625762,0.947540283203125,8192,qa,9,76,2,2,224732
6753,0.0012780750403180718,0.999420166015625,8192,qa,9,80,2,2,246800
6754,0.0002088969777105376,1.0,8192,qa,9,88,2,2,294008
6755,1.7607741028768942e-05,1.0,8192,qa,9,96,2,2,345312
6756,6.781921001675073e-06,1.0,8192,qa,9,104,2,2,400712
6757,4.301427907194011e-06,1.0,8192,qa,9,112,2,2,460208
6758,1.5503972008445999e-06,1.0,8192,qa,9,120,2,2,523800
6759,7.17756051926699e-07,1.0,8192,qa,9,128,2,2,591488
6760,1.1877899169921875,0.0,16384,qatool,0,4,2,2,2612
6761,0.5584530830383301,4.57763671875e-05,16384,qatool,0,8,2,2,6248
6762,0.3856682777404785,0.014862060546875,16384,qatool,0,12,2,2,10908
6763,0.0887368842959404,0.0970001220703125,16384,qatool,0,16,2,2,16592
6764,0.030784131959080696,0.579620361328125,16384,qatool,0,20,2,2,23300
6765,0.011882133781909943,0.668853759765625,16384,qatool,0,24,2,2,31032
6766,1.3218419248062219e-08,0.9999847412109375,16384,qatool,0,28,2,2,39788
6767,0.0004998923977836967,0.9897613525390625,16384,qatool,0,32,2,2,49568
6768,1.338279886908822e-08,0.9999847412109375,16384,qatool,0,36,2,2,60372
6769,1.2425116047154461e-08,0.9999847412109375,16384,qatool,0,40,2,2,72200
6770,8.83979289767467e-09,0.9999847412109375,16384,qatool,0,44,2,2,85052
6771,9.249604637773245e-09,0.9999847412109375,16384,qatool,0,48,2,2,98928
6772,1.1283071366108288e-08,0.9999847412109375,16384,qatool,0,52,2,2,113828
6773,8.087982728000043e-09,0.9999847412109375,16384,qatool,0,56,2,2,129752
6774,4.246214935221815e-09,0.9999847412109375,16384,qatool,0,60,2,2,146700
6775,4.583984303252464e-09,0.9999847412109375,16384,qatool,0,64,2,2,164672
6776,6.781808448153015e-09,0.9999847412109375,16384,qatool,0,68,2,2,183668
6777,6.270478802861135e-09,0.9999847412109375,16384,qatool,0,72,2,2,203688
6778,3.623263689078726e-09,0.9999847412109375,16384,qatool,0,76,2,2,224732
6779,3.6775891221196844e-09,0.9999847412109375,16384,qatool,0,80,2,2,246800
6780,5.210281539547168e-09,0.9999847412109375,16384,qatool,0,88,2,2,294008
6781,7.342344066074702e-09,0.9999847412109375,16384,qatool,0,96,2,2,345312
