,loss_best,accuracy_best,data.nb_data,data.key,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
830,4.119447005734855e-09,1.0,1000,qatool,64,4,4,301120
831,6.991124124056114e-09,1.0,1000,qatool,64,4,8,301120
832,5.218691256914099e-09,1.0,1000,qatool,64,5,1,366784
833,3.098751255592447e-09,1.0,1000,qatool,64,5,2,366784
834,5.779650091852773e-09,1.0,1000,qatool,64,5,4,366784
835,3.0943356765789076e-09,1.0,1000,qatool,64,5,8,366784
836,2.915060637320721e-09,1.0,1000,qatool,64,6,1,432448
837,4.267299402727076e-09,1.0,1000,qatool,64,6,2,432448
838,7.422162440207103e-09,1.0,1000,qatool,64,6,4,432448
839,7.414900249358425e-09,1.0,1000,qatool,64,6,8,432448
840,1.2781837810393881e-08,1.0,1000,qatool,128,1,1,339328
841,8.570813392339005e-09,1.0,1000,qatool,128,1,2,339328
842,6.982916467279665e-09,1.0,1000,qatool,128,1,4,339328
843,7.549554759123112e-09,1.0,1000,qatool,128,1,8,339328
844,1.9350694380193545e-09,1.0,1000,qatool,128,2,1,601728
845,1.8613367513964363e-09,1.0,1000,qatool,128,2,2,601728
846,1.328755661056391e-09,1.0,1000,qatool,128,2,4,601728
847,1.4487904209659064e-09,1.0,1000,qatool,128,2,8,601728
848,2.2691222234527686e-09,1.0,1000,qatool,128,3,1,864128
849,9.450917826114846e-10,1.0,1000,qatool,128,3,2,864128
850,5.831027882763351e-10,1.0,1000,qatool,128,3,4,864128
851,8.804324491684667e-10,1.0,1000,qatool,128,3,8,864128
852,1.61406465970515e-09,1.0,1000,qatool,128,4,1,1126528
853,4.354910598802775e-10,1.0,1000,qatool,128,4,2,1126528
854,4.180750468041339e-10,1.0,1000,qatool,128,4,4,1126528
855,7.940454960220222e-10,1.0,1000,qatool,128,4,8,1126528
856,1.5644766593325699e-09,1.0,1000,qatool,128,5,1,1388928
857,2.425677436690421e-10,1.0,1000,qatool,128,5,2,1388928
858,4.092363947716393e-10,1.0,1000,qatool,128,5,4,1388928
859,2.427107126390382e-10,1.0,1000,qatool,128,5,8,1388928
860,7.309519101106332e-10,1.0,1000,qatool,128,6,1,1651328
861,3.531651082688825e-10,1.0,1000,qatool,128,6,2,1651328
862,1.5401716013663247e-10,1.0,1000,qatool,128,6,4,1651328
863,4.093461125620479e-10,1.0,1000,qatool,128,6,8,1651328
864,0.7277030348777771,0.03825,1000,qa,16,1,1,13744
865,0.7001755237579346,0.039,1000,qa,16,1,2,13744
866,0.6630628108978271,0.03825,1000,qa,16,1,4,13744
867,0.970190167427063,0.014,1000,qa,16,1,8,13744
868,0.13537998497486115,0.0505,1000,qa,16,2,1,17872
869,0.13165082037448883,0.0525,1000,qa,16,2,2,17872
870,0.12911070883274078,0.0545,1000,qa,16,2,4,17872
871,0.226374551653862,0.04675,1000,qa,16,2,8,17872
872,0.12294990569353104,0.06025,1000,qa,16,3,1,22000
873,0.11946137994527817,0.0675,1000,qa,16,3,2,22000
874,0.12271302193403244,0.07075,1000,qa,16,3,4,22000
875,0.27154311537742615,0.044,1000,qa,16,3,8,22000
876,0.12748678028583527,0.06075,1000,qa,16,4,1,26128
877,0.1112242192029953,0.0895,1000,qa,16,4,2,26128
878,0.11628838628530502,0.084,1000,qa,16,4,4,26128
879,0.21470414102077484,0.04875,1000,qa,16,4,8,26128
880,0.10404182970523834,0.11075,1000,qa,16,5,1,30256
881,0.10234034806489944,0.12925,1000,qa,16,5,2,30256
882,0.1047288030385971,0.11275,1000,qa,16,5,4,30256
883,0.11854657530784607,0.07525,1000,qa,16,5,8,30256
884,0.11783619225025177,0.0765,1000,qa,16,6,1,34384
885,0.09315301477909088,0.16225,1000,qa,16,6,2,34384
886,0.09288013726472855,0.15725,1000,qa,16,6,4,34384
887,0.112954281270504,0.09425,1000,qa,16,6,8,34384
888,0.18292497098445892,0.0555,1000,qa,32,1,1,35680
889,0.1421816200017929,0.06425,1000,qa,32,1,2,35680
890,0.15818290412425995,0.0515,1000,qa,32,1,4,35680
891,0.17692750692367554,0.06525,1000,qa,32,1,8,35680
892,0.00017525962903164327,1.0,1000,qa,32,2,1,52128
893,0.00010793239925988019,1.0,1000,qa,32,2,2,52128
894,0.00011339668708387762,1.0,1000,qa,32,2,4,52128
895,0.0007036085589788854,1.0,1000,qa,32,2,8,52128
896,5.799560312880203e-06,1.0,1000,qa,32,3,1,68576
897,5.444720954983495e-06,1.0,1000,qa,32,3,2,68576
898,1.2853874068241566e-05,1.0,1000,qa,32,3,4,68576
899,6.629464223806281e-06,1.0,1000,qa,32,3,8,68576
900,5.120722335050232e-07,1.0,1000,qa,32,4,1,85024
901,4.1094827452070604e-07,1.0,1000,qa,32,4,2,85024
902,5.173245654077618e-07,1.0,1000,qa,32,4,4,85024
903,7.115643825272855e-07,1.0,1000,qa,32,4,8,85024
904,1.2118800896132598e-07,1.0,1000,qa,32,5,1,101472
905,1.0972696173894292e-07,1.0,1000,qa,32,5,2,101472
906,1.312740778303123e-07,1.0,1000,qa,32,5,4,101472
907,1.812646388543726e-07,1.0,1000,qa,32,5,8,101472
908,5.554682758202034e-08,1.0,1000,qa,32,6,1,117920
909,3.496981548778422e-08,1.0,1000,qa,32,6,2,117920
910,3.404512227689338e-08,1.0,1000,qa,32,6,4,117920
911,4.4135415322443805e-08,1.0,1000,qa,32,6,8,117920
912,4.953743700752966e-05,1.0,1000,qa,64,1,1,104128
913,1.1886908396263607e-05,1.0,1000,qa,64,1,2,104128
914,5.78323533773073e-06,1.0,1000,qa,64,1,4,104128
915,1.3546574336942285e-05,1.0,1000,qa,64,1,8,104128
916,2.3338776244941073e-08,1.0,1000,qa,64,2,1,169792
917,1.2977278807113635e-08,1.0,1000,qa,64,2,2,169792
918,1.2238114521778698e-08,1.0,1000,qa,64,2,4,169792
919,1.3787504471451939e-08,1.0,1000,qa,64,2,8,169792
920,1.0247363846360713e-08,1.0,1000,qa,64,3,1,235456
921,9.613651208439933e-09,1.0,1000,qa,64,3,2,235456
922,9.50404022148632e-09,1.0,1000,qa,64,3,4,235456
923,9.211508888995468e-09,1.0,1000,qa,64,3,8,235456
924,7.77225750425714e-09,1.0,1000,qa,64,4,1,301120
925,8.355913294622042e-09,1.0,1000,qa,64,4,2,301120
926,7.595123641124246e-09,1.0,1000,qa,64,4,4,301120
927,7.494493026172222e-09,1.0,1000,qa,64,4,8,301120
928,7.0334498225577136e-09,1.0,1000,qa,64,5,1,366784
929,7.331189877390898e-09,1.0,1000,qa,64,5,2,366784
930,6.367796956396887e-09,1.0,1000,qa,64,5,4,366784
931,7.3037940140352475e-09,1.0,1000,qa,64,5,8,366784
932,6.745218605885839e-09,1.0,1000,qa,64,6,1,432448
933,6.419357934106529e-09,1.0,1000,qa,64,6,2,432448
934,6.443051425719659e-09,1.0,1000,qa,64,6,4,432448
935,6.38852082346375e-09,1.0,1000,qa,64,6,8,432448
936,3.102707069047028e-08,1.0,1000,qa,128,1,1,339328
937,1.5520539520252896e-08,1.0,1000,qa,128,1,2,339328
938,1.2415441119628667e-08,1.0,1000,qa,128,1,4,339328
939,1.2606690802385856e-08,1.0,1000,qa,128,1,8,339328
940,7.60530216581401e-09,1.0,1000,qa,128,2,1,601728
941,6.294373022797117e-09,1.0,1000,qa,128,2,2,601728
942,6.735872304375334e-09,1.0,1000,qa,128,2,4,601728
943,5.869081665110798e-09,1.0,1000,qa,128,2,8,601728
944,5.730719010443863e-09,1.0,1000,qa,128,3,1,864128
945,5.640498734749144e-09,1.0,1000,qa,128,3,2,864128
946,5.545222947489492e-09,1.0,1000,qa,128,3,4,864128
947,4.396003561168982e-09,1.0,1000,qa,128,3,8,864128
948,5.988983087235056e-09,1.0,1000,qa,128,4,1,1126528
949,4.616994342399039e-09,1.0,1000,qa,128,4,2,1126528
950,4.702586320348701e-09,1.0,1000,qa,128,4,4,1126528
951,5.166166161529873e-09,1.0,1000,qa,128,4,8,1126528
952,5.671653813266175e-09,1.0,1000,qa,128,5,1,1388928
953,4.567307421154965e-09,1.0,1000,qa,128,5,2,1388928
954,3.801483572374309e-09,1.0,1000,qa,128,5,4,1388928
955,3.879899956871213e-09,1.0,1000,qa,128,5,8,1388928
956,4.244840923206539e-09,1.0,1000,qa,128,6,1,1651328
957,3.744658805260315e-09,1.0,1000,qa,128,6,2,1651328
958,3.9727825473789835e-09,1.0,1000,qa,128,6,4,1651328
959,3.4534877180192325e-09,1.0,1000,qa,128,6,8,1651328
960,0.37752288579940796,0.014666666666666666,3000,qatool,16,1,1,13744
961,0.36744070053100586,0.00825,3000,qatool,16,1,2,13744
962,0.41600340604782104,0.0021666666666666666,3000,qatool,16,1,4,13744
963,0.5065889358520508,0.0045,3000,qatool,16,1,8,13744
964,0.1712501049041748,0.0335,3000,qatool,16,2,1,17872
965,1.0758515145425918e-06,0.9999166666666667,3000,qatool,16,2,2,17872
966,0.18411968648433685,0.013416666666666667,3000,qatool,16,2,4,17872
967,0.28510305285453796,0.00016666666666666666,3000,qatool,16,2,8,17872
968,0.13392391800880432,0.048666666666666664,3000,qatool,16,3,1,22000
969,0.18859851360321045,0.03175,3000,qatool,16,3,2,22000
970,0.11698470264673233,0.07375,3000,qatool,16,3,4,22000
971,0.2409619837999344,0.00275,3000,qatool,16,3,8,22000
972,0.0001356619904981926,0.9814166666666667,3000,qatool,16,4,1,26128
973,0.06219254434108734,0.23883333333333334,3000,qatool,16,4,2,26128
974,1.7237319980267785e-06,0.9999166666666667,3000,qatool,16,4,4,26128
975,0.02487538568675518,0.40875,3000,qatool,16,4,8,26128
976,0.019612852483987808,0.44858333333333333,3000,qatool,16,5,1,30256
977,2.1311007003532723e-06,0.9999166666666667,3000,qatool,16,5,2,30256
978,9.498070880908926e-07,0.9999166666666667,3000,qatool,16,5,4,30256
979,0.00026463947142474353,0.9989166666666667,3000,qatool,16,5,8,30256
980,0.0013179780216887593,0.9630833333333333,3000,qatool,16,6,1,34384
981,1.2731148672173731e-05,0.99925,3000,qatool,16,6,2,34384
982,0.044410184025764465,0.27675,3000,qatool,16,6,4,34384
983,0.020067427307367325,0.49325,3000,qatool,16,6,8,34384
984,0.07770748436450958,0.07441666666666667,3000,qatool,32,1,1,35680
985,0.06829530745744705,0.17991666666666667,3000,qatool,32,1,2,35680
986,0.06942221522331238,0.11416666666666667,3000,qatool,32,1,4,35680
987,0.21269086003303528,0.0033333333333333335,3000,qatool,32,1,8,35680
988,3.46026567399349e-08,0.9999166666666667,3000,qatool,32,2,1,52128
989,1.1840373126403847e-08,0.9999166666666667,3000,qatool,32,2,2,52128
990,1.3529572129300504e-08,0.9999166666666667,3000,qatool,32,2,4,52128
991,6.921227679868025e-08,0.9999166666666667,3000,qatool,32,2,8,52128
992,1.3104338059122256e-08,0.9999166666666667,3000,qatool,32,3,1,68576
993,1.1924119469597372e-08,0.9999166666666667,3000,qatool,32,3,2,68576
994,5.1333643114048755e-08,0.9999166666666667,3000,qatool,32,3,4,68576
995,9.153191982136377e-09,0.9999166666666667,3000,qatool,32,3,8,68576
996,1.2389943293555916e-08,0.9999166666666667,3000,qatool,32,4,1,85024
997,1.3751706440245925e-08,0.9999166666666667,3000,qatool,32,4,2,85024
998,1.0724180654619886e-08,0.9999166666666667,3000,qatool,32,4,4,85024
999,1.0328949251459107e-08,0.9999166666666667,3000,qatool,32,4,8,85024
1000,1.1088189033614526e-08,0.9999166666666667,3000,qatool,32,5,1,101472
1001,1.5401219854993542e-08,0.9999166666666667,3000,qatool,32,5,2,101472
1002,1.8122902289974263e-08,0.9999166666666667,3000,qatool,32,5,4,101472
1003,1.0750491163946663e-08,0.9999166666666667,3000,qatool,32,5,8,101472
1004,1.5465392522173715e-08,0.9999166666666667,3000,qatool,32,6,1,117920
1005,1.5862454461057496e-08,0.9999166666666667,3000,qatool,32,6,2,117920
1006,9.694788971614798e-09,0.9999166666666667,3000,qatool,32,6,4,117920
1007,1.2430674267704944e-08,0.9999166666666667,3000,qatool,32,6,8,117920
1008,0.00048412426258437335,0.99575,3000,qatool,64,1,1,104128
1009,3.48840985679999e-05,0.9999166666666667,3000,qatool,64,1,2,104128
1010,3.4227432479383424e-05,0.9999166666666667,3000,qatool,64,1,4,104128
1011,0.00012421378050930798,0.9999166666666667,3000,qatool,64,1,8,104128
1012,3.953744887041921e-09,0.9999166666666667,3000,qatool,64,2,1,169792
1013,4.881566706416152e-09,0.9999166666666667,3000,qatool,64,2,2,169792
1014,3.0086795277384226e-09,0.9999166666666667,3000,qatool,64,2,4,169792
1015,4.8391064488839675e-09,0.9999166666666667,3000,qatool,64,2,8,169792
1016,4.188399405080645e-09,0.9999166666666667,3000,qatool,64,3,1,235456
1017,4.23133217353211e-09,0.9999166666666667,3000,qatool,64,3,2,235456
1018,4.795996044748563e-09,0.9999166666666667,3000,qatool,64,3,4,235456
1019,4.629920447030145e-09,0.9999166666666667,3000,qatool,64,3,8,235456
1020,6.6470700055276666e-09,0.9999166666666667,3000,qatool,64,4,1,301120
1021,6.567101529242336e-09,0.9999166666666667,3000,qatool,64,4,2,301120
1022,2.5959432381483794e-09,0.9999166666666667,3000,qatool,64,4,4,301120
1023,5.13999154350131e-09,0.9999166666666667,3000,qatool,64,4,8,301120
1024,4.669946207513931e-09,0.9999166666666667,3000,qatool,64,5,1,366784
1025,2.343101046520246e-09,0.9999166666666667,3000,qatool,64,5,2,366784
1026,2.975272250793637e-09,0.9999166666666667,3000,qatool,64,5,4,366784
1027,4.500033679022408e-09,0.9999166666666667,3000,qatool,64,5,8,366784
1028,4.1963819086277e-09,0.9999166666666667,3000,qatool,64,6,1,432448
1029,5.379410694672515e-09,0.9999166666666667,3000,qatool,64,6,2,432448
1030,7.076671248995581e-09,0.9999166666666667,3000,qatool,64,6,4,432448
1031,1.0016720786154565e-08,0.9999166666666667,3000,qatool,64,6,8,432448
1032,2.2010146949469345e-07,0.9999166666666667,3000,qatool,128,1,1,339328
1033,2.4468508996733362e-08,0.9999166666666667,3000,qatool,128,1,2,339328
1034,1.3785098396112971e-08,0.9999166666666667,3000,qatool,128,1,4,339328
1035,1.3502294393674674e-08,0.9999166666666667,3000,qatool,128,1,8,339328
1036,2.0770394293379013e-09,0.9999166666666667,3000,qatool,128,2,1,601728
1037,1.541665461957109e-09,0.9999166666666667,3000,qatool,128,2,2,601728
1038,1.1526825050012235e-09,0.9999166666666667,3000,qatool,128,2,4,601728
1039,1.146425732123646e-09,0.9999166666666667,3000,qatool,128,2,8,601728
1040,1.5273368125789943e-09,0.9999166666666667,3000,qatool,128,3,1,864128
1041,7.955346936761032e-10,0.9999166666666667,3000,qatool,128,3,2,864128
1042,9.699593350731561e-10,0.9999166666666667,3000,qatool,128,3,4,864128
1043,2.5392472569052416e-09,0.9999166666666667,3000,qatool,128,3,8,864128
1044,1.957512152372942e-09,0.9999166666666667,3000,qatool,128,4,1,1126528
1045,1.0800387251208576e-09,0.9999166666666667,3000,qatool,128,4,2,1126528
