,run,model,dataset_size,checkpoint_nbr,recall,recall_stderr,hellaswag_absolute,hellaswag_absolute_stderr,hellaswag_relative,hellaswag_relative_stderr,tv,tv_stderr,kl,kl_stderr
42,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,200,0.7033333333333334,0.02637268508359584,0.4231228838876718,0.004930448527146665,93.73483136711852,1.502145636548919,0.17802047729492188,0.001442432263140224,0.2663227617740631,0.004270902114006081
43,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,240,0.7633333333333333,0.024539461794937257,0.42113124875522806,0.004927314729433553,93.29362246447263,1.4983116586023275,0.19313660264015198,0.0015422881088722926,0.32734546065330505,0.005771001848866021
44,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,280,0.79,0.023515952032609692,0.42421828321051586,0.004932137126625398,93.97749626357376,1.5042513419744252,0.181586354970932,0.00147059673802042,0.28227075934410095,0.004542188934255985
45,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,320,0.9333333333333333,0.014401645996461909,0.4193387771360287,0.0049244240180736755,92.89653445209133,1.4948550584703226,0.2014939934015274,0.0016144918139145861,0.36475178599357605,0.005932383207900593
46,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,360,0.9766666666666667,0.008715673408461501,0.42113124875522806,0.004927314729433552,93.29362246447263,1.4983116586023275,0.2105342000722885,0.001656579046465682,0.3913803994655609,0.006433257886077586
47,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,400,0.98,0.008082903768654764,0.4142601075482972,0.004915870966174406,91.77145175034433,1.4850300301867996,0.22355760633945465,0.0017324691459277282,0.43743422627449036,0.006734181001311975
48,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,440,0.9666666666666667,0.010363754503432016,0.4206333399721171,0.0049265184393722725,93.18332023881115,1.497352065805935,0.22528678178787231,0.001725887020412626,0.4319602847099304,0.006494285188057512
49,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,480,0.9933333333333333,0.004698305447081342,0.41734714200358497,0.004921133864931888,92.45532554944545,1.4910076528237,0.22989477217197418,0.0017473255338005954,0.4465319812297821,0.006723839585651554
50,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,39,0.043333333333333335,0.011755219486899646,0.42093208524198367,0.00492699683019424,93.24950157420804,1.4979278743511213,0.14872366189956665,0.001191989480135966,0.17531274259090424,0.0029904656348809277
51,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,78,0.03333333333333333,0.010363754503432016,0.41814379605656243,0.004922459820434773,92.6318091105038,1.4925474695928043,0.16577620804309845,0.0012861633898681158,0.20999112725257874,0.0033269846018327267
52,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,117,0.07666666666666666,0.015361085995559135,0.4078868751244772,0.004904375631128862,90.35958326187748,1.4726339192784634,0.19110798835754395,0.001420450943481487,0.26446792483329773,0.0037937486712711077
53,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,156,0.32,0.02693201316896554,0.4122684724158534,0.004912370023913015,91.33024284769843,1.4811642900212787,0.19469556212425232,0.001459749708865968,0.28724953532218933,0.0042501618181789245
54,sft_Lam1B_facts=10000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,10k,195,0.6866666666666666,0.026780313388479703,0.4166500697072296,0.004919962822208309,92.30090243351938,1.4896593752699445,0.1987936645746231,0.0015131489275042815,0.3187999427318573,0.004704157250071242
